objectid,filename,format,parentid,registration_number,title,subject,mudra,material,measurement,colour,culture,manufactured,location,price,placement,usage,position,emotion,attribute,description
dmc2,dmc2.jpeg,image/jpeg,,Image_1,Buddha Offers,Bowl; Decoration,mistaken mudra,Artificial Stone ,Height: Approximately 20 cm,Off-White,Chinese,China,"Bochum, TK Maxx","14,00€",on the shelf of vases and pots,an item available in the store for outdoor use,Seated,Serene,"Seated with legs crossed, hands holding a begging bowl",A depiction of Buddha (Shakyamuni) sitting cross legged and holding an offering bowl with both hands. His robes are hanging over both shoulders and ears are hanging down to the shoulders. The empty offering bowl can be used for various aims.
dmc5,dmc5.jpeg,image/jpeg,,Image_2,Bodhisattva for Garden,Vases; Garden,dhyana mudra,Clay Fiber,Height: Approximately 20 cm,Grey,Chinese,China,"Bochum, TK Maxx","16,00€",on the shelf of vases and pots,an item available in the store for outdoor use,Seated,Serene,"Seated with legs crossed, and hands folded in meditation gesture",A bodhisattva looking like buddha sitting cross legged with the hands in the dhyānamūdra. The face resembling chinese depictions of the bodhisattva of compassion Guan Yin (Avalokiteṣvara). Wears a crown and has long hair. 
dmc7,dmc7.jpeg,image/jpeg,,Image_3,Stylish Bodhisattva Head,Crown; Fancy; Head,without mudra,Brown Clay,Height: Approximately 25 cm,Earthy Brown,Indian,China,"Bochum, TK Maxx","12,00€",on the shelf of vases and pots,an item available in the store for outdoor use,Head mounted on a stick,Serene,Peaceful Head,"A bodhisattva looking buddha face with a mark for the third eye , a crown, long hair and long ears"
dmc9,dmc9.jpeg,image/jpeg,,Image_4,Glitter Baby Buddha,Baby; Glitter,dhyana mudra,Ceramic,Height: Approximately  25 cm,Grey,Chinese,China,"Bochum, TK Maxx","12,00€",on the shelf of vases and pots,an item available in the store for indoor use,Seated,Serene,"Seated with legs crossed, and hands folded in meditation gesture",A Buddha with a Chinese resemblance with a mala around the neck and a shaved head in meditation posture with crossed legs and arms in meditation mudra.
dmc10,dmc10.jpeg,image/jpeg,,Image_5,Indian Style Buddha Head,Grained,without mudra,Artificial Stone ,Height: Approximately  25 cm,White,Indian,India,"Bochum, TK Maxx","17,99€",on the shelf of vases and pots,an item available in the store for indoor use,Head,Serene,Peaceful Head,A Buddha's head resembling Buddha Shakyamuni. Smiling with a big nose and long ears. The long hair is in a topknot. Eyes are shut. 
dmc11,dmc11.jpeg,image/jpeg,,Image_6,Buddha Fragmented Head,Multi-piece; Kafka Sculpture; Fancy,without mudra,Resin,Height: Approximately  25 cm,Dark Gold,Indian,India,"Bochum, TK Maxx","19,00€",on the shelf of vases and pots,an item available in the store for indoor use,Head,Serene,Peaceful Head,A golden Buddha head that looks like it was build by many layers. 
dmc15,dmc15.jpeg,image/jpeg,,Image_7,Market Setting of Garden’s Buddha,Group; Plastic Wrapped,diverse mudras,Marble,Diverse,Diverse,Chinese,China,"Bochum, TK Maxx",Diverse,on the shelf of vases and pots,an item available in the store for indoor use,Seated,Serene,"Peaceful Heads. Seated with legs crossed, and hands folded in meditation gesture",Three Buddha heads and three Buddha figures in greyish white with the third eye visible and curly hair.
dmc16,dmc16.jpeg,image/jpeg,,Image_8,Happy Bodhisattva,Happy; Feet,dhyana mudra,Marble,Height: Approximately 20 cm,White,Chinese,China,"Bochum, TK Maxx","14,99€",on the shelf of vases and pots,an item available in the store for indoor use,Seated,Serene,"Seated with legs crossed, and hands folded in meditation gesture",A Buddha figure in greyish white with the third eye visible and curly hair sitting in padmasana.  
dmc17,dmc17.jpeg,image/jpeg,,Image_9,Baby Buddha Head,Baby; Plastic Wrapped,without mudra,Marble,Height: Approximately 10 cm,White,Chinese,China,"Bochum, TK Maxx","6,99€",on the shelf of vases and pots,an item available in the store for indoor use,Head,Serene,Happy Head,"A baby bodhisattva with a mark for the third eye, long hair and long earlobes."
dmc19,dmc19.jpeg,image/jpeg,,Image_10,Cement Brush Buddha Flowerpot,Garden; Vases,without mudra,Clay,Height: Approximately 25 cm,Light Grey,Indian,China,"Bochum, TK Maxx","16,99€",on the shelf of vases and pots,an item available in the store for outdoor use,Head,Serene,Peaceful Head,"A face who looks like Buddha. He has long hair in a topknot, and long earlobes."
dmc21,dmc21.jpeg,image/jpeg,,Image_11,Buddha Head Flowerpot,Garden; Vases; Moss,without mudra,Clay,Height: Approximately 25 cm,Dark Grey,Indian,China,"Bochum, TK Maxx","16,99€",on the shelf of vases and pots,an item available in the store for outdoor use,Head,Serene,Peaceful Head,"A vase like Buddha, with a mark for the third eye, long hair and long earlobes."
dmc22,dmc22.jpeg,image/jpeg,,Image_12,Flower Shop Buddha,Florist; Display; Moss; Lotus,dhyana mudra,Clay Fiber,Height: Approximately 40 cm,Dark Brown,Korean,China,"Cologne, A Flower Shop",Not for Sale,among the flowers,an item used to make the store window display more attractive,Seated,Serene,"Seated with legs crossed, and hands folded in meditation gesture",A depiction of Buddha (Shakyamuni) sitting cross-legged and holding a lotus offering bowl with both hands. His robes are hanging over both shoulders and his ears are hanging down to the shoulders. Decorated with moss.
